                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.867,                  1.493,                 1.1612,                0.68736,                0.66172,                0.70068,                0.51286,                0.88073,                 1.0799,                 1.1269,             0.00013861,             0.00013861,             0.00013861
                      2,                 0.9123,                 1.2047,                 1.2054,                0.71897,                0.63068,                0.69579,                0.49705,                0.95205,                 1.0576,                 1.1827,               0.000186,               0.000186,               0.000186
                      3,                0.87946,                  1.082,                 1.1861,                0.77153,                0.68511,                0.76096,                0.58016,                 0.8378,                0.88514,                 1.1043,             0.00014165,             0.00014165,             0.00014165
